name,count,collection,eod,eodnum,tops,th,gs_tops_mm,snd_shl,mean_gs_mm,max_gs_mm,ng,ar,depth_m,grain_size_mm
Karoo krf1,1,Skoorsteenberg,fan,1,21.04245632,0.392482556,0.173761736,1,0.173761736,0.173761736,0.772614886,0.104761905,"21.0425,20.6500,","0.1738,0.1738,"
Karoo krf1,1,Skoorsteenberg,fan,1,20.64997376,0.244326889,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"20.6500,20.4056,","0.0583,0.0583,"
Karoo krf1,1,Skoorsteenberg,fan,1,20.40564688,0.041587556,0.119996195,1,0.119996195,0.119996195,0.772614886,0.104761905,"20.4056,20.3641,","0.1200,0.1200,"
Karoo krf1,1,Skoorsteenberg,fan,1,20.36405932,0.046786,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"20.3641,20.3173,","0.0583,0.0583,"
Karoo krf1,1,Skoorsteenberg,fan,1,20.31727332,0.106568111,0.133081776,1,0.133081776,0.133081776,0.772614886,0.104761905,"20.3173,20.2107,","0.1331,0.1331,"
Karoo krf1,1,Skoorsteenberg,fan,1,20.21070521,0.028591445,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"20.2107,20.1821,","0.0583,0.0583,"
Karoo krf1,1,Skoorsteenberg,fan,1,20.18211376,0.124762667,0.11810055,1,0.11810055,0.11810055,0.772614886,0.104761905,"20.1821,20.0574,","0.1181,0.1181,"
Karoo krf1,1,Skoorsteenberg,fan,1,20.0573511,0.036389111,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"20.0574,20.0210,","0.0583,0.0583,"
Karoo krf1,1,Skoorsteenberg,fan,1,20.02096199,0.106568111,0.142967917,1,0.142967917,0.142967917,0.772614886,0.104761905,"20.0210,19.9144,","0.1430,0.1430,"
Karoo krf1,1,Skoorsteenberg,fan,1,19.91439387,0.109167334,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"19.9144,19.8052,","0.0583,0.0583,"
Karoo krf1,1,Skoorsteenberg,fan,1,19.80522654,0.142978376,0.144110746,1,0.144110746,0.144110746,0.772614886,0.104761905,"19.8052,19.6622,","0.1441,0.1441,"
Karoo krf1,1,Skoorsteenberg,fan,1,19.66224817,0.118435913,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"19.6622,19.5438,","0.0583,0.0583,"
Karoo krf1,1,Skoorsteenberg,fan,1,19.54381225,1.196146284,0.139720542,1,0.142200857,0.144338319,0.772614886,0.104761905,"19.5438,18.4365,18.3477,","0.1397,0.1443,0.1443,"
Karoo krf1,1,Skoorsteenberg,fan,1,18.34766597,0.087657351,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"18.3477,18.2600,","0.0583,0.0583,"
Karoo krf1,1,Skoorsteenberg,fan,1,18.26000862,0.196910775,0.121403083,1,0.121403083,0.121403083,0.772614886,0.104761905,"18.2600,18.0631,","0.1214,0.1214,"
Karoo krf1,1,Skoorsteenberg,fan,1,18.06309784,0.110762311,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"18.0631,17.9523,","0.0583,0.0583,"
